SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
04/01/2022 08:44:13AM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
290,13,1140698,3/18/2022,04:42:02PM,27002,GAT27002,$15.56 ,1,$27.96 ,$27.96 ,$12.40 ,GAT,AP
290,13,1140698,3/18/2022,04:42:02PM,AX44,GATAX44,$6.27 ,2,$12.30 ,$24.60 ,$12.06 ,GAT,A
290,13,1140698,3/18/2022,04:42:02PM,5752A,TAC5752A,$182.58 ,1,$256.13 ,$256.13 ,$73.55 ,TAC,AP
290,13,1140698,3/18/2022,04:42:02PM,85-6120,GRC85-6120,$8.40 ,2,$13.02 ,$26.04 ,$9.24 ,GRC,AP
290,13,1140698,3/18/2022,04:42:02PM,27004,GAT27004,$18.31 ,2,$28.74 ,$57.48 ,$20.86 ,GAT,AP
290,13,1140698,3/18/2022,04:42:02PM,491982,LOC491982,$3.11 ,12,$5.11 ,$61.32 ,$24.00 ,LOC,AP
D4305-1,123,625780,3/31/2022,07:38:08AM,MRK4707QH23V,MERMRK4707QH23V,$32.67 ,2,$44.69 ,$89.38 ,$24.04 ,MER,AP
D4305-1,123,625780,3/31/2022,07:38:08AM,51372MP,WIX51372MP,$4.45 ,21,$4.09 ,$85.89 ,($7.56),WIX,A
5860,54,1139028,3/9/2022,08:31:08AM,S-18268,SASS-18268,$8.59 ,1,$15.06 ,$15.06 ,$6.47 ,SAS,A
3686,13,1142261,3/29/2022,08:00:01AM,G25179-0608,GATG25179-0608,$13.72 ,0,$23.58 ,,,GAT,A
3686,13,1142261,3/29/2022,08:00:01AM,70355,GAT70355,$6.17 ,50,$9.26 ,$463.00 ,$154.50 ,GAT,AP
D6200-1,16,625054,3/24/2022,05:14:07PM,EM68880,EXCEM68880,$32.23 ,1,$53.55 ,$53.55 ,$21.32 ,EXC,A
3686,13,1142261,3/29/2022,08:00:01AM,G20180-1212,GATG20180-1212,$29.94 ,0,$42.44 ,,,GAT,AP
3686,13,1142261,3/29/2022,08:00:01AM,G25105-1616X,GATG25105-1616X,$20.47 ,2,$33.41 ,$66.82 ,$25.88 ,GAT,AP
3686,13,1142261,3/29/2022,08:00:01AM,G20180-0808,GATG20180-0808,$14.06 ,2,$22.64 ,$45.28 ,$17.16 ,GAT,AP
3686,13,1142261,3/29/2022,08:00:01AM,G20179-1616,GATG20179-1616,$37.14 ,2,$59.33 ,$118.66 ,$44.38 ,GAT,AP
3686,13,1142261,3/29/2022,08:00:01AM,G25105-0404,GATG25105-0404,$7.19 ,4,$11.04 ,$44.16 ,$15.40 ,GAT,AP
3686,13,1142261,3/29/2022,08:00:01AM,G25175-0606,GATG25175-0606,$12.94 ,0,$21.10 ,,,GAT,AP
D6200-1,16,625054,3/24/2022,05:14:07PM,EM68870,EXCEM68870,$27.98 ,1,$50.76 ,$50.76 ,$22.78 ,EXC,A
3686,13,1142261,3/29/2022,08:00:01AM,G20180-1616,GATG20180-1616,$43.93 ,0,$62.28 ,,,GAT,AP
2502,15,1139896,3/14/2022,01:58:33PM,R002237,MERR002237,$0.66 ,-1,$1.96 ,($1.96),($1.30),MER,A
2502,15,1139896,3/14/2022,01:58:33PM,PRI327APMOLY,LCSPRI327APMOLYD-CART,$6.43 ,2,$12.38 ,$24.76 ,$11.90 ,LCS,AP
2502,15,1139896,3/14/2022,01:58:33PM,R000573,MERR000573,$2.75 ,-1,$4.05 ,($4.05),($1.30),MER,A
2502,15,1139896,3/14/2022,01:58:33PM,MER614743,MERMER614743,$28.68 ,1,$40.24 ,$40.24 ,$11.56 ,MER,AFP
5860,64,1139393,3/10/2022,12:45:52PM,GC3030LCW,MIDGC3030LCW,$68.90 ,1,$106.39 ,$106.39 ,$37.49 ,MID,AP
3245-1,97,622258,3/1/2022,11:27:30AM,5267,TAC5267,$246.80 ,1,$354.12 ,$354.12 ,$107.32 ,TAC,AP
4081-1,46,1142906,3/31/2022,09:02:17AM,860-010,DOR860-010,$2.91 ,1,$6.55 ,$6.55 ,$3.64 ,DOR,A
4081-1,46,1142906,3/31/2022,09:02:17AM,860-120,DOR860-120,$3.59 ,1,$7.76 ,$7.76 ,$4.17 ,DOR,A
4081-1,46,1142906,3/31/2022,09:02:17AM,860-105,DOR860-105,$2.84 ,1,$6.39 ,$6.39 ,$3.55 ,DOR,A
4081-1,46,1142906,3/31/2022,09:02:17AM,860-015,DOR860-015,$3.70 ,1,$7.10 ,$7.10 ,$3.40 ,DOR,AP
4081-1,46,1142906,3/31/2022,09:02:17AM,860-110,DOR860-110,$3.84 ,1,$8.07 ,$8.07 ,$4.23 ,DOR,AP
4081-1,46,1142906,3/31/2022,09:02:17AM,860-020,DOR860-020,$3.59 ,1,$7.33 ,$7.33 ,$3.74 ,DOR,AP
4081-1,46,1142906,3/31/2022,09:02:17AM,860-115,DOR860-115,$3.77 ,1,$8.14 ,$8.14 ,$4.37 ,DOR,A
4081-1,46,1142906,3/31/2022,09:02:17AM,860-007,DOR860-007,$2.80 ,1,$6.30 ,$6.30 ,$3.50 ,DOR,A
4081-1,46,1142906,3/31/2022,09:02:17AM,860-107,DOR860-107,$4.06 ,1,$8.04 ,$8.04 ,$3.98 ,DOR,AP
4081-1,46,1142906,3/31/2022,09:02:17AM,860-012,DOR860-012,$3.63 ,0,$6.98 ,,,DOR,AP
D5174,16,624592,3/21/2022,04:16:58PM,G20995-0408X,GATG20995-0408X,$3.43 ,10,$5.75 ,$57.50 ,$23.20 ,GAT,A
D5174,16,624592,3/21/2022,04:16:58PM,G20170-0808X,GATG20170-0808X,$5.12 ,10,$8.52 ,$85.20 ,$34.00 ,GAT,A
564-1,4,1139382,3/10/2022,12:13:46PM,BGK-3913,PAIBGK-3913,$1.04 ,2,$1.47 ,$2.94 ,$0.86 ,PAI,A
D3435,97,624798,3/23/2022,08:08:40AM,G25832-0808,GATG25832-0808,$16.14 ,1,$23.53 ,$23.53 ,$7.39 ,GAT,A
564-1,4,1139382,3/10/2022,12:13:46PM,GGA-2933,PAIGGA-2933,$1.46 ,0,$1.68 ,,,PAI,A
564-1,4,1139382,3/10/2022,12:13:46PM,BGA-3001,PAIBGA-3001,$1.70 ,1,$2.02 ,$2.02 ,$0.32 ,PAI,A
564-1,4,1139382,3/10/2022,12:13:46PM,BGA-2500,PAIBGA-2500,$1.15 ,2,$1.70 ,$3.40 ,$1.10 ,PAI,A
564-1,4,1139382,3/10/2022,12:13:46PM,GGK-2913,PAIGGK-2913,$3.29 ,0,$3.78 ,,,PAI,A
564-1,4,1139382,3/10/2022,12:13:46PM,BGK-3829,PAIBGK-3829,$6.38 ,5,$9.04 ,$45.20 ,$13.30 ,PAI,A
564-1,4,1139382,3/10/2022,12:13:46PM,BGK-3914,PAIBGK-3914,$0.59 ,0,$0.68 ,,,PAI,A
D3435,97,624798,3/23/2022,08:08:40AM,G25830-0808,GATG25830-0808,$8.30 ,2,$11.70 ,$23.40 ,$6.80 ,GAT,A
564-1,4,1139382,3/10/2022,12:13:46PM,GGS-3916,PAIGGS-3916,$0.87 ,0,$1.25 ,,,PAI,A
564-1,4,1139382,3/10/2022,12:13:46PM,BGA-3000,PAIBGA-3000,$1.29 ,7,$1.89 ,$13.23 ,$4.20 ,PAI,A
D6450-1,!WEB,623072,3/8/2022,03:51:53PM,G25810-0608,GATG25810-0608,$9.11 ,2,$14.48 ,$28.96 ,$10.74 ,GAT,A
D6450-1,!WEB,623072,3/8/2022,03:51:53PM,WL10447,WIXWL10447,$22.42 ,2,$19.95 ,$39.90 ,($4.94),WIX,A
D6450-1,!WEB,623072,3/8/2022,03:51:53PM,G25830-0608,GATG25830-0608,$7.53 ,2,$11.35 ,$22.70 ,$7.64 ,GAT,A
D7840,123,625473,3/29/2022,10:38:03AM,E-BC30S,EUCE-BC30S,$18.30 ,4,$26.04 ,$104.16 ,$30.96 ,EUC,A
4081-1,46,1142906,3/31/2022,09:02:17AM,SPOOLRACK,SPOSPOOLRACK,$73.95 ,0,$98.00 ,,,SPO,APQT
4081-1,46,1142906,3/31/2022,09:02:17AM,810-116,DOR810-116,$3.35 ,1,$7.54 ,$7.54 ,$4.19 ,DOR,A
4081-1,46,1142906,3/31/2022,09:02:17AM,875-020,DOR875-020,$2.73 ,1,$6.14 ,$6.14 ,$3.41 ,DOR,A
5866,85,1139969,3/14/2022,09:45:18AM,33519,WIX33519,$7.51 ,1,$9.02 ,$9.02 ,$1.51 ,WIX,A
5866,85,1139969,3/14/2022,09:45:18AM,51157,WIX51157,$11.24 ,0,$12.01 ,,,WIX,A
4081-1,46,1142906,3/31/2022,09:02:17AM,875-010,DOR875-010,$2.73 ,1,$6.14 ,$6.14 ,$3.41 ,DOR,A
4081-1,46,1142906,3/31/2022,09:02:17AM,875-030,DOR875-030,$3.00 ,1,$6.75 ,$6.75 ,$3.75 ,DOR,A
4081-1,46,1142906,3/31/2022,09:02:17AM,875-016,DOR875-016,$2.77 ,1,$6.23 ,$6.23 ,$3.46 ,DOR,A
5866,85,1139969,3/14/2022,09:45:18AM,51609,WIX51609,$5.94 ,1,$7.01 ,$7.01 ,$1.07 ,WIX,A
5866,85,1139969,3/14/2022,09:45:18AM,57120,WIX57120,$20.82 ,1,$25.26 ,$25.26 ,$4.44 ,WIX,A
4081-1,46,1142906,3/31/2022,09:02:17AM,810-114,DOR810-114,$2.84 ,1,$6.39 ,$6.39 ,$3.55 ,DOR,A
4081-1,46,1142906,3/31/2022,09:02:17AM,G0750976,SPOG0750976,$213.95 ,4,$278.00 ,"1,112.00",$256.20 ,SPO,APQT
4081-1,46,1142906,3/31/2022,09:02:17AM,875-025,DOR875-025,$2.67 ,1,$6.01 ,$6.01 ,$3.34 ,DOR,A
5866,85,1139969,3/14/2022,09:45:18AM,51153,WIX51153,$6.53 ,1,$7.21 ,$7.21 ,$0.68 ,WIX,A
