SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
03/01/2022 12:01:25PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
D0553,69,620220,2/14/2022,07:51:34AM,G20995-0408X,GATG20995-0408X,$3.33 ,10,$4.53 ,$45.30 ,$12.00 ,GAT,A
D0553,69,620220,2/14/2022,07:51:34AM,G25655-0612,GATG25655-0612,$20.69 ,2,$26.87 ,$53.74 ,$12.36 ,GAT,A
D0553,69,620220,2/14/2022,07:51:34AM,60490-1616,AGA60490-1616,$3.53 ,1,$7.53 ,$7.53 ,$4.00 ,AGA,AP
D0553,69,620220,2/14/2022,07:51:34AM,G20170-0808X,GATG20170-0808X,$4.94 ,2,$6.69 ,$13.38 ,$3.50 ,GAT,A
D0553,69,620220,2/14/2022,07:51:34AM,G20170-0808X,GATG20170-0808X,$4.94 ,3,$6.69 ,$20.07 ,$5.25 ,GAT,A
D0553,69,620220,2/14/2022,07:51:34AM,G25645-0612,GATG25645-0612,$7.46 ,0,$9.78 ,,,GAT,A
D0553,69,620220,2/14/2022,07:51:34AM,G25170-1616X,GATG25170-1616X,$16.66 ,2,$22.25 ,$44.50 ,$11.18 ,GAT,A
D0553,69,620220,2/14/2022,07:51:34AM,G20174-0808,GATG20174-0808,$15.37 ,0,$20.14 ,,,GAT,A
D0553,69,620220,2/14/2022,07:51:34AM,G20995-0408X,GATG20995-0408X,$3.33 ,2,$4.53 ,$9.06 ,$2.40 ,GAT,A
146,46,1137257,2/25/2022,,51042MP,WIX51042MP,$4.64 ,1,$3.35 ,$3.35 ,($1.29),WIX,A
148,4,1134499,2/9/2022,03:14:38PM,42355,WIX42355,$31.85 ,1,$34.53 ,$34.53 ,$2.68 ,WIX,A
D0148,97,619186,2/4/2022,10:46:15AM,10076,LUC10076,$12.73 ,1,$17.23 ,$17.23 ,$4.50 ,LUC,AP
146,46,1137257,2/25/2022,,51356,WIX51356,$4.37 ,,$3.52 ,,,WIX,A
6402-1,15,1134165,2/8/2022,10:49:16AM,SHA13001,CVLSHA13001,$8.79 ,2,$13.19 ,$26.38 ,$8.80 ,CVL,AP
6402-1,15,1134165,2/8/2022,10:49:16AM,SHA13000,CVLSHA13000,$8.79 ,2,$13.19 ,$26.38 ,$8.80 ,CVL,AP
