SALES HISTORY LOAD FILE 3,,,,,,,,,,,,,
05/01/2022 02:54:13PM,,,,,,,,,,,,,
Ship To,Counterman,Invoice Number,INVOICE DATE,ENTRY TIME,Part Number,Part Number With Vendor,Unit Cost,Qty Ship,Unit Sell Price,Extended Part Price,Extended Part Profit,VND,Options
D9207,97,627061,4/12/2022,09:30:28AM,42455,WIX42455,$48.81 ,2,$55.85 ,$111.70 ,$14.08 ,WIX,A
1060-1,13,1144948,4/14/2022,01:40:09PM,XK5574692FC2,MERXK5574692FC2,$60.98 ,4,$91.67 ,$366.68 ,$122.76 ,MER,A
1060-1,13,1144948,4/14/2022,01:40:09PM,151.27505,ATM151.27505,$119.07 ,4,$178.60 ,$714.40 ,$238.12 ,ATM,A
524,6,1145587,4/19/2022,08:52:13AM,MM46-62005-H,ATRMM46-62005-HT,$55.85 ,1,$78.19 ,$78.19 ,$22.34 ,ATR,AP
524,6,1145587,4/19/2022,08:52:13AM,45126,SHL45126,$14.88 ,12,$19.92 ,$239.04 ,$60.48 ,SHL,A
524,6,1145587,4/19/2022,08:52:13AM,41812,SHL41812,$10.75 ,3,$15.58 ,$46.74 ,$14.49 ,SHL,AP
524,6,1145587,4/19/2022,08:52:13AM,5373,TAC5373,$186.35 ,1,$269.17 ,$269.17 ,$82.82 ,TAC,A
D9658,129,626242,4/5/2022,09:12:26AM,10288,LUC10288,$51.72 ,1,$73.96 ,$73.96 ,$22.24 ,LUC,AP
5860,54,1146164,4/21/2022,02:11:15PM,66864B,WEB66864B,$112.59 ,4,$146.23 ,$584.92 ,$134.56 ,WEB,A
146,6,1146102,4/21/2022,,PRX26832,CVLPRX26832,$3.54 ,2,$6.17 ,$12.34 ,$5.26 ,CVL,AP
3769,97,627017,4/11/2022,03:48:15PM,45126,SHL45126,$14.76 ,2,$21.22 ,$42.44 ,$12.92 ,SHL,A
3769,97,627017,4/11/2022,03:48:15PM,45128,SHL45128,$66.09 ,2,$95.03 ,$190.06 ,$57.88 ,SHL,AP
5860,15,1144769,4/13/2022,10:43:00AM,10823,LUC10823,$1.21 ,2,$2.66 ,$5.32 ,$2.90 ,LUC,A
5860,15,1144769,4/13/2022,10:43:00AM,1267,TAC1267,$10.80 ,1,$16.22 ,$16.22 ,$5.42 ,TAC,AP
5860,15,1144769,4/13/2022,10:43:00AM,15011,TLC15011,$3.60 ,1,$7.29 ,$7.29 ,$3.69 ,TLC,A
D4634,87,629292,4/29/2022,,SP7-96EXC-5,GRKSP7-96EXC-5,$588.91 ,2,$795.00 ,"1,590.00",$412.18 ,GRK,APQT
D4634,87,629292,4/29/2022,,SF-518,GRKSF-518,$35.34 ,1,$47.12 ,$47.12 ,$11.78 ,GRK,APQT
9549,64,1143267,4/4/2022,11:13:30AM,562.417,ATM562.417,$96.26 ,1,$141.50 ,$141.50 ,$45.24 ,ATM,AP
